name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Kiss an Angel Good Mornin',The Essential Charley Pride,Charley Pride,0alXPC11fIucBFD6qcCE94,2006-05-08,49,123133,0.684,0.708,0.498,0.0,0.365,0.905,-10.836,0.03,131.855,4,4
Linda On My Mind - Single Version,Conway Twitty's Greatest Hits Volume II,Conway Twitty,02q9atOyzjCRfk2uUcfqxe,1976,33,162693,0.383,0.314,0.292,1.32e-05,0.0581,0.593,-15.23,0.0293,104.789,9,4
Two Dollars in the Jukebox - 2008 Remaster,Rocky Mountain Music,Eddie Rabbitt,7ueyVuff3whBxbmoanlg4C,1976-10,47,142773,0.759,0.067,0.621,0.000291,0.0623,0.921,-12.539,0.0314,134.319,5,4
"Midnight, Me And The Blues",All His Great Hits,Mel Tillis,7vRwCuTsBIbV1oVoyPEHrd,1995-01-01,32,170200,0.647,0.843,0.282,0.00134,0.182,0.753,-15.042,0.0319,132.169,3,4
Goin' Steady,Golden Hits,Faron Young,4sgQHkppFQrWhAjoQszici,1995-01-01,36,125266,0.492,0.47,0.428,0.0,0.204,0.871,-13.132,0.0352,165.776,0,4
What Goes On When The Sun Goes Down,The Essential Ronnie Milsap,Ronnie Milsap,79vfnjh0dqLBx9gijw3f2C,2006-07-31,0,172800,0.693,0.661,0.484,1.22e-06,0.12,0.902,-10.004,0.0281,132.879,5,4
Lonely Women Make Good Lovers,Greatest Hits,Bob Luman,5je7nvdte7odjJvs5iM1bS,1974-03-01,40,193960,0.652,0.712,0.484,0.124,0.272,0.636,-10.389,0.0309,121.604,8,4
I Can't Believe She Gives It All To Me - Single Version,Gold,Conway Twitty,7aatEerxno8RipIcuqPRG1,2006-01-01,36,143373,0.471,0.56,0.195,0.000106,0.102,0.47,-16.353,0.0277,91.817,2,4
You and Me,The Essential Tammy Wynette,Tammy Wynette,0yTzqq0G5th4IKPv3Qfick,2013-08-20,34,200426,0.458,0.584,0.234,0.00029,0.182,0.197,-14.843,0.0273,77.317,8,3
It's Not Love (But It's Not Bad),The Very Best Of Merle Haggard,Merle Haggard,7hxJo1SVlgaluuJm453Yt1,2007-01-01,36,201386,0.659,0.189,0.281,0.0,0.112,0.518,-13.564,0.0268,108.287,7,4
I'd Rather Love You,I'm Just Me,Charley Pride,6Zo1yJyD4Fj3fgg2FHxfTw,1971-03-01,32,168400,0.492,0.689,0.35,0.0,0.21,0.384,-11.091,0.0272,103.818,9,4
Pass Me By,20 Greatest Hits,Johnny Rodriguez,0KaaQF4tqn8Ser0PxfqTGz,2005,0,157746,0.661,0.678,0.4,0.0,0.0697,0.397,-6.499,0.0245,101.025,7,4
Drinkin' My Baby (Off My Mind) - 2009 Remaster,Number One Hits,Eddie Rabbitt,0aH37hHD9bgClsjGngV974,2009-10-05,43,145946,0.614,0.0764,0.706,0.0,0.306,0.867,-7.397,0.0292,127.952,4,4
Heaven's Just A Sin Away,Heaven's Just A Sin Away,The Kendalls,7F0duVleRBoCey6qtIFC79,2005,0,146466,0.56,0.775,0.593,0.0,0.0917,0.862,-7.622,0.0313,154.311,6,4
Don't the Girls All Get Prettier at Closing Time,16 Biggest Hits,Mickey Gilley,0dFPe0V76Q9eXHbXVxG3C9,1974,34,177266,0.657,0.605,0.808,2.68e-05,0.291,0.926,-8.564,0.0445,89.918,0,4
The Door Is Always Open,Anthology,Dave and Sugar,0kDE8iIZcedP244LZ3xGJz,1998,39,163800,0.455,0.499,0.479,0.0,0.121,0.826,-10.417,0.0272,188.482,5,4
Barstool Mountain,The Very Best Of...Volume 1,Moe Bandy,6kTddqCu2KqjggSNi7ZtNP,2012-06-19,35,169000,0.73,0.23,0.225,4.27e-06,0.258,0.596,-15.429,0.032,123.61,2,4
Out Of My Head And Back In My Bed,The Definitive Collection,Loretta Lynn,2cLb9n7u5iJTXNOrrJI1F1,2005-01-01,34,160920,0.625,0.284,0.69,0.0167,0.727,0.915,-10.424,0.0322,132.446,2,4
If I Said You Had A Beautiful Body Would You Hold It Against Me,Best Of The Bellamy Brothers,The Bellamy Brothers,7pRKbx3PYJmz36cp92hDIE,1992-03-16,41,192040,0.741,0.0334,0.508,2.75e-06,0.12,0.872,-15.703,0.0294,116.572,4,4
Is Anybody Goin' to San Antone,Charley Pride's 10th Album,Charley Pride,4YoKrIafwopFW5OfjaRwty,1970-07-01,52,133880,0.718,0.724,0.399,0.0,0.156,0.856,-11.592,0.034,116.477,2,4
Some Broken Hearts Never Mend - Single Version,20 Greatest Hits,Don Williams,6OREPdoHWU3IehSiZA6rcw,1987-01-01,37,168360,0.633,0.228,0.433,0.0775,0.0751,0.816,-16.442,0.0264,97.527,9,4
Rub It In,"The Best Of Billy ""Crash"" Craddock",Billy 'Crash' Craddock,6q014fQ3SqLy180KPuCTG1,1996-01-01,40,146800,0.759,0.404,0.543,1.25e-05,0.141,0.977,-11.189,0.0321,115.671,7,4
Stop And Smell The Roses,Stop And Smell The Roses,Mac Davis,0gXj72vNlNoh7kiC8zPEQp,1974-02-27,39,201600,0.528,0.232,0.421,0.0,0.159,0.763,-16.302,0.0858,85.449,2,4
Help Me Make It Through The Night,The Best Of Sammi Smith,Sammi Smith,2XWmbwp9FBAaFcSE9BLQzc,1996-01-01,54,155533,0.559,0.605,0.35,0.000443,0.102,0.413,-12.01,0.0245,78.035,8,4
The Power of Positive Drinkin',The Essential Mickey Gilley,Mickey Gilley,22CngS28FQLN8jiUhGgfNV,2015-01-09,34,145253,0.535,0.629,0.912,0.00263,0.216,0.906,-8.18,0.0573,181.036,5,4
(If Loving You Is Wrong) I Don't Want To Be Right,Ultimate Collection: Barbara Mandrell,Barbara Mandrell,1cxjGdsHJn2vo17AbWLFzu,2001-01-01,34,185013,0.621,0.0341,0.536,1.01e-05,0.142,0.72,-10.935,0.0349,74.256,4,4
Love In The Hot Afternoon,Ultimate Collection: Gene Watson,Gene Watson,0DT0jbuh51K52Rn5sTqWeq,2001-01-01,0,201240,0.536,0.532,0.404,0.0,0.101,0.29,-11.265,0.0351,112.682,4,3
Shadows In The Moonlight,The Ultimate Collection (Deluxe Edition),Anne Murray,7i6YbLIaM45ntr0OnkEfBj,2017-09-29,34,209733,0.63,0.00351,0.689,4.7e-05,0.103,0.422,-5.927,0.0253,104.683,0,4
Stranger,The Essential Johnny Duncan,Johnny Duncan,3OBmAls7qBqUb6A9kZimw3,2011,44,189786,0.57,0.121,0.555,0.0,0.304,0.901,-9.147,0.0273,117.646,5,4
Mother Country Music,Till The End,Vern Gosdin,06z1kxyyax5xkyJVWK0U3K,1977,37,173853,0.562,0.189,0.448,0.0,0.144,0.603,-13.113,0.0358,132.622,9,4
What a Difference You've Made in My Life,The Essential Ronnie Milsap,Ronnie Milsap,2aRZlcf5SE7Qq0SslQh30R,2006-07-31,0,239066,0.422,0.528,0.537,0.000238,0.182,0.43,-10.214,0.0276,96.198,5,4
Ridin' My Thumb To Mexico,The Best Of Johnny Rodriguez 20th Century Masters The Millennium Collection,Johnny Rodriguez,4cts2JWIBKsSyMuclg7yZP,2006-01-01,34,126200,0.628,0.972,0.321,1.01e-05,0.253,0.666,-9.718,0.0292,90.259,1,4
You've Never Been This Far Before,Conway Twitty - 25 Number Ones,Conway Twitty,2PX54jMPTjvpgAod0oIuIP,2004-01-01,35,181932,0.469,0.694,0.235,0.153,0.0962,0.52,-14.399,0.0336,138.522,10,4
I Can Help,The Best Of Billy Swan,Billy Swan,4oW1lGOw5Q5OLvoJv92qoE,1974,49,238333,0.471,0.511,0.675,0.019,0.232,0.53,-9.07,0.0513,125.313,0,4
Sleeping Single In A Double Bed - Single Version,Ultimate Collection: Barbara Mandrell,Barbara Mandrell,2Ln5JJOBoVDIoA8MJ2vG0C,2001-01-01,34,138853,0.715,0.454,0.687,0.0,0.0736,0.974,-9.408,0.0311,139.375,0,4
Daydreams About Night Things,The Essential Ronnie Milsap,Ronnie Milsap,3rX2dDipynV30H8TYrmTRU,2006-07-31,0,143333,0.639,0.57,0.53,0.0,0.0911,0.918,-9.358,0.0319,138.72,2,4
The Fightin' Side Of Me,HAG: The Hits Volume 2,Merle Haggard,7tvnZH4Db2zylKHo7ojKH1,2011-09-06,44,169346,0.754,0.368,0.497,0.0,0.193,0.789,-11.14,0.039,95.502,4,4
Till the End,Till The End,Vern Gosdin,7pwA0yTkSFYDiiplqmy8KE,1977,39,166000,0.547,0.411,0.265,1.35e-06,0.109,0.385,-16.803,0.0249,93.106,9,4
Just Good Ol' Boys,The Ultimate Moe & Joe,Moe Bandy,1eKTcxiptSrdGKZuPNQdCr,2003,36,155226,0.607,0.665,0.598,0.0,0.136,0.733,-8.875,0.0739,151.233,10,4
Blanket On The Ground,Country Greats,Billie Jo Spears,7mTBUlWPquXPQzDg8yGLlJ,1987-01-01,55,215360,0.465,0.394,0.519,0.00156,0.204,0.881,-11.819,0.0239,86.6,5,4
Paper Roses,20th Century Masters: The Millennium Collection: Best of Donny & Marie Osmond,Donny Osmond,00oIqmk1eRn9D2y8BzNLS1,2002-01-01,40,158973,0.359,0.272,0.504,1.52e-05,0.332,0.73,-10.555,0.0349,114.172,8,4
Wasted Days And Wasted Nights,Before The Next Teardrop Falls,Freddy Fender,3xPer22ZLDCRQtb6Z03ykt,1975,46,171761,0.702,0.481,0.409,4.76e-06,0.289,0.885,-8.84,0.0354,88.516,11,4
Rhinestone Cowboy,Greatest Hits,Glen Campbell,3UjdvK3tW0YjEtdbSfO8M5,2009-01-01,41,209306,0.601,0.118,0.711,0.00163,0.43,0.719,-3.998,0.0255,115.168,0,4
She's Actin' Single (I'm Drinkin' Doubles),RCA Country Legends,Gary Stewart,32YbeD81QS0opdouHEQc7r,2004-07-27,37,171093,0.708,0.567,0.482,2.59e-05,0.115,0.699,-10.366,0.0315,109.41,6,4
Pure Love - Remastered,Ultimate Ronnie Milsap,Ronnie Milsap,0bR9zhqRwYTV7dgexsXIb6,2004-03-01,0,140960,0.521,0.31,0.718,0.0,0.0648,0.849,-9.102,0.0324,151.216,2,4
For the Good Times,The Essential Ray Price,Ray Price,4cIGNFaKpoVuJfVvixS0mU,2007-05-29,45,227786,0.352,0.76,0.204,0.000426,0.327,0.524,-15.414,0.0311,83.342,3,4
Don't Take It Away - Single Version,Gold,Conway Twitty,2ZvnuEEAso2ApgAsmu29Oj,2006-01-01,39,221400,0.721,0.517,0.302,0.0,0.168,0.433,-16.424,0.0592,88.461,4,4
If We're Not Back In Love By Monday,Ramblin' Fever,Merle Haggard,3jghFUSMqVsvbIqxW6VIdM,1977-01-01,40,196000,0.696,0.813,0.193,1.34e-05,0.103,0.701,-16.637,0.0299,76.55,3,4
Lucille - 2006 Digital Remaster,Number Ones,Kenny Rogers,53JzReeFzXYkCUTCHuulkW,2006-01-01,0,219360,0.65,0.412,0.286,0.0,0.133,0.418,-15.878,0.0345,142.236,5,3
Rose Colored Glasses,Rose Colored Glasses,John Conlee,1Ko3qmw2ItUEefsjDjpLWL,1988-01-01,56,200493,0.396,0.382,0.379,0.0,0.105,0.368,-14.236,0.043,114.447,8,3
The Grand Tour,George Jones - 16 Biggest Hits,George Jones,5lXX4SAV6HBaVnZ6sUQPNE,1998-07-14,47,187373,0.458,0.944,0.275,0.0194,0.271,0.449,-11.498,0.0261,88.718,10,4
Every Which Way but Loose - 2009 Remaster,Number One Hits,Eddie Rabbitt,73xcnqBwjnGwAlrfBomLP3,2009-10-05,52,171653,0.598,0.458,0.483,7.88e-06,0.36,0.452,-7.474,0.0292,130.663,7,4
Rose Garden,Rose Garden,Lynn Anderson,5YwgJ6lpZ3SiAQwBEpjqey,1971,61,175866,0.589,0.168,0.501,0.0,0.0741,0.969,-11.665,0.031,131.064,0,4
The Year That Clayton Delaney Died,20th Century Masters: The Millennium Collection: Best Of Tom T. Hall,Tom T. Hall,5Sxz7cjDvezdZgjx3aZNvz,2000-01-01,0,165293,0.659,0.588,0.456,0.0,0.198,0.892,-8.883,0.0307,133.229,1,4
Delta Dawn,Delta Dawn,Tanya Tucker,62qNdSlhFznQD0gHpCGrtw,1972-04-19,35,178400,0.549,0.668,0.424,0.0,0.319,0.509,-12.892,0.0369,76.783,0,4
Y'all Come Back Saloon,Oak Ridge Boys Greatest Hits,The Oak Ridge Boys,5O8eCRZGcjLfztSye87CMw,1980-01-01,39,174226,0.684,0.0994,0.417,3.69e-05,0.0789,0.743,-14.849,0.0502,82.837,2,4
Let Me Be There,Gold,Olivia Newton-John,2SS6MAZIFjrn1XNkjgJuV4,2005-01-01,0,177986,0.559,0.281,0.673,5.97e-06,0.147,0.83,-7.693,0.0409,129.015,7,4
"My Woman, My Woman, My Wife",Marty Robbins - 16 Biggest Hits,Marty Robbins,7K40sZ0ZV6vGjzSso2nFyr,1952,39,211106,0.429,0.927,0.317,3.5e-06,0.116,0.302,-11.322,0.0292,102.109,0,3
Thank God I'm a Country Boy - Live,The Essential John Denver,John Denver,6n7bcDnJOuKj3Zc5FbnaWs,2007-02-27,0,200466,0.409,0.656,0.621,0.0,0.967,0.836,-11.016,0.138,202.354,9,3
This Time,The Essential Waylon Jennings,Waylon Jennings,03T4H6czLK426qcW870hBZ,2007-05-01,41,144733,0.448,0.0884,0.597,0.285,0.149,0.514,-12.201,0.0381,98.494,0,4
Her Name Is...,Anniversary (Ten Years Of Hits),George Jones,6v3ozeTaUGr5Wwmya1Xhg0,1982-10-30,43,138800,0.565,0.307,0.336,0.0,0.0949,0.796,-16.387,0.0319,82.294,7,4
The Most Beautiful Girl,Charlie Rich - 16 Biggest Hits,Charlie Rich,5kXmiepRVuKhhz0SxyCVeL,1973,49,162866,0.566,0.702,0.409,3.36e-06,0.101,0.458,-10.379,0.0265,103.233,7,4
'Til I Get It Right,The Essential Tammy Wynette,Tammy Wynette,64s3ywG24Rkgum7qIIA6wO,2013-08-20,35,157933,0.528,0.843,0.146,0.000356,0.101,0.336,-13.271,0.0288,133.894,0,4
Tulsa Time,20 Greatest Hits,Don Williams,5BTUfUNq9sa7OUbles1qvS,1987-01-01,44,192800,0.877,0.493,0.489,8.05e-06,0.0611,0.929,-15.244,0.0385,103.886,4,4
Before the Next Teardrop Falls,The Freddy Fender Collection,Freddy Fender,3awuorsQsio2PUOvzq3hpd,1991-10-11,48,158306,0.799,0.748,0.345,2.39e-05,0.169,0.776,-11.52,0.0276,90.417,10,4
Southern Nights,Greatest Hits,Glen Campbell,2sd8p89DvYBzJFWo97knsd,2009-01-01,39,179586,0.651,0.0376,0.937,0.000419,0.291,0.927,-2.57,0.0366,93.789,1,4
Two More Bottles of Wine - 2003 Remaster,Quarter Moon in a Ten Cent Town (Expanded & Remastered),Emmylou Harris,62buMnGJ9bLrZAV03fGjYc,1978,46,186333,0.764,0.251,0.736,0.000294,0.121,0.96,-7.571,0.0333,134.336,3,4
Bloody Mary Morning,Phases And Stages,Willie Nelson,5paRS95sOPkOVQlmUIUF4B,1974,42,168933,0.601,0.586,0.766,0.000903,0.347,0.856,-13.262,0.0466,130.14,7,4
Don't It Make My Brown Eyes Blue,Crystal Gayle: The Hits,Crystal Gayle,0d8U9eJajtUmiJVXbIO624,2007-01-01,49,157933,0.675,0.714,0.49,0.000313,0.113,0.353,-7.818,0.0395,84.409,6,4
It Must Be Love - Single Version,20 Greatest Hits,Don Williams,2yjP9SAtGTy6xgMEJXVXsi,1987-01-01,44,146733,0.92,0.129,0.399,8.66e-06,0.0721,0.966,-17.627,0.0608,110.824,5,4
"When You're Hot, You're Hot",The Essential Jerry Reed,Jerry Reed,6sykijVtS1m8vxLnkKXrJ5,1995,44,139560,0.788,0.354,0.832,0.0,0.1,0.91,-10.783,0.0981,101.045,4,4
The Wurlitzer Prize (I Don't Want to Get Over You),The Essential Waylon Jennings,Waylon Jennings,39vRhTRqO7qQggd8aID96o,2007-05-01,38,128253,0.597,0.861,0.346,0.00309,0.13,0.499,-12.679,0.0399,118.704,7,4
Family Tradition,The Bocephus Box Set,"Hank Williams, Jr.",2lYMQJyM2LOGEG3rVkdFod,2000-08-22,51,242960,0.66,0.0238,0.523,0.0,0.142,0.794,-12.068,0.0608,126.342,4,4
