name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
What's Up?,"Bigger, Better, Faster, More !",4 Non Blondes,7f0jXNMu2xjQUtmKMuWhGA,1992-01-01,0,295493,0.566,0.156,0.57,0.0,0.118,0.491,-9.875,0.0285,134.537,11,4
Gangsta's Paradise,Gangsta's Paradise,Coolio,7lQWRAjyhTpCWFC0jmclT4,1995-11-07,18,240693,0.647,0.0655,0.514,0.0,0.398,0.387,-10.05,0.0593,79.974,8,4
Fantasy,Daydream,Mariah Carey,6xkryXuiZU360Lngd4sx13,1995-10-03,76,243493,0.669,0.139,0.727,0.0,0.123,0.807,-7.588,0.0353,102.322,7,4
"It Must Have Been Love - From the Film ""Pretty Woman""",It Must Have Been Love,Roxette,6kvoHl80mfCVTv7XnZkjQn,1990-05-20,74,258786,0.52,0.34,0.652,5.49e-05,0.256,0.722,-6.655,0.0274,80.609,5,4
Wannabe,Spice,Spice Girls,1Je1IMUlBXcx1Fz0WE7oPT,1996-01-01,80,173026,0.768,0.101,0.864,0.0,0.162,0.891,-6.145,0.0324,110.008,11,4
Man! I Feel Like A Woman!,Come On Over,Shania Twain,6sxptembJVty4sNtcPMAVz,1997-11-04,77,234493,0.657,0.581,0.639,0.0,0.278,0.674,-7.527,0.0412,124.882,10,4
...Baby One More Time,...Baby One More Time (Digital Deluxe Version),Britney Spears,3MjUtNVVq3C8Fn0MP3zhXa,1999-01-12,78,211066,0.759,0.202,0.699,0.000131,0.443,0.907,-5.745,0.0307,92.96,0,4
California Love - Original Version,Greatest Hits,2Pac,1JClFT74TYSXlzpagbmj0S,1998-01-01,64,285026,0.767,0.0303,0.856,1.91e-06,0.36,0.747,-2.715,0.041,91.535,7,4
Still D.R.E.,2001,Dr. Dre,503OTo2dSqe7qk76rgsbep,1999-11-16,84,270586,0.816,0.16,0.775,0.00031,0.0543,0.527,-3.323,0.234,93.431,11,4
Push The Feeling On - Mk Dub Revisited Edit,Push The Feeling On,Nightcrawlers,1EWsVHU4FNAdtN4R8FETag,1995,67,243160,0.793,0.028,0.5,1.96e-05,0.186,0.833,-13.108,0.0319,123.017,6,4
Freed From Desire,Come Into My Life (The Album),Gala,3u5N55tHf7hXATSQrjBh2q,1997-11-17,76,213394,0.704,0.587,0.861,0.0615,0.0992,0.636,-4.221,0.0493,128.99,2,4
I Got 5 On It,Operation Stackola,Luniz,4IYKjN1DrYzxKXt0umJqsG,1995-01-01,74,253533,0.6,0.209,0.706,0.0,0.125,0.58,-7.899,0.361,173.926,10,4
Miami,Big Willie Style,Will Smith,6e8Ou0wiqAzIpWb2eSxll8,1997-10-03,71,197560,0.877,0.0339,0.534,1.67e-05,0.0441,0.89,-6.178,0.15,108.17,1,4
Coco Jamboo,We See The Same Sun,Mr. President,5fRvePkRGdpn2nKacG7I6d,1996-05-17,71,218733,0.832,0.0791,0.838,0.0,0.152,0.965,-5.414,0.0421,100.021,1,4
King Of My Castle - Roy Malone's King Mix,King of My Castle (Nicola Fasano & Steve Forest Mixes),Wamdue Project,6YeFYgc7H0ACm4IZ4Zro24,2009,48,299333,0.868,0.0438,0.537,0.633,0.0604,0.764,-9.038,0.0783,125.02,10,4
Ain't That Just the Way,Ain't That Just The Way,Lutricia McNeal,7tHYA0eEH6dAAzMurBNvT9,1996,56,214800,0.743,0.0583,0.651,0.0,0.186,0.768,-9.336,0.221,173.871,7,4
Sing Hallelujah!,The Very Best Of 1990 - 1997,Dr. Alban,6RQtvdmW0fnWv1VOKpgYcq,1997-06-15,48,241066,0.719,0.00225,0.795,0.00664,0.34,0.844,-7.232,0.0387,124.694,5,4
"I Like To Move It (feat. The Mad Stuntman) - Erick ""More"" Album Mix",Move It!,Reel 2 Real,6dHTkQYY3zdR9i9Nj0IGVW,1994-10-10,63,230760,0.863,0.0394,0.781,0.000292,0.125,0.764,-8.546,0.0785,122.938,5,4
Maria Maria (feat. The Product G&B),Supernatural (Remastered),Santana,3XKIUb7HzIF1Vu9usunMzc,1999-06-15,66,261973,0.777,0.0406,0.601,0.00201,0.0348,0.68,-5.931,0.126,97.911,2,4
Let's Get Loud,On The 6,Jennifer Lopez,6kQz6t5z1FK4uohPh8Kd73,1999-04-20,68,238226,0.82,0.139,0.937,7.51e-05,0.325,0.922,-4.81,0.0542,131.006,5,4
Changes,Greatest Hits,2Pac,1ofhfV90EnYhEr7Un2fWiv,1998-01-01,71,268826,0.865,0.0453,0.665,0.0,0.224,0.331,-6.289,0.073,111.113,7,4
Mr. Vain - Original Radio Edit,Mr. Vain,Culture Beat,4ih3dyFZoeTdaeJW9mPbOI,1993-01-01,68,257466,0.703,0.0726,0.997,0.0235,0.123,0.391,-7.666,0.0399,132.872,9,4
Ready or Not,The Score (Expanded Edition),Fugees,3vZO25GdYuqFrR1kzZADnp,1996-02-13,71,226986,0.607,0.209,0.422,0.0,0.0839,0.563,-13.364,0.499,130.47,10,3
Sweet Dreams,Greatest Hits,La Bouche,2wz5weI4PREzpexKfrKgwv,2007,61,204586,0.656,0.0784,0.956,0.0247,0.0923,0.831,-5.647,0.0536,133.713,11,4
They Don't Care About Us,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",Michael Jackson,3wuCCNCnBhJlwkIJTBZFiv,1995-06-16,71,284160,0.859,0.205,0.905,0.00837,0.322,0.731,-5.539,0.129,89.946,0,4
Più bella cosa,Dove c'è musica,Eros Ramazzotti,0KligwQn4Iy344p2Q5m6k6,1996-04-30,60,265026,0.691,0.0524,0.76,0.0,0.217,0.637,-6.82,0.0262,110.006,8,4
Insomnia - Radio Edit,One For The Lad's,Various Artists,3VARvuAse3BGcthh63pUeg,2008-05-16,48,216933,0.717,0.0792,0.934,0.144,0.384,0.539,-7.555,0.0373,126.847,8,4
Senza Una Donna - Without A Woman,ZU & Co.,Zucchero,4j1gRovHkS5KG2E9TPDUdF,2004-01-01,49,270866,0.71,0.125,0.5,4.19e-06,0.432,0.413,-6.418,0.0372,79.01,9,4
Sexbomb,Reload,Tom Jones,6KHXp9QKpRuBQPLDOiZlsV,1999,0,211893,0.801,0.144,0.876,1.38e-05,0.104,0.932,-3.94,0.0446,122.98,8,4
"Men In Black - From ""Men In Black"" Soundtrack",Big Willie Style,Will Smith,2FK7fxjzQEXD7Z32HSF0Hl,1997-10-03,63,227266,0.801,0.0968,0.581,0.000318,0.0971,0.656,-8.491,0.0681,107.545,5,4
"Rhythm Is A Dancer - 7"" Edit",The Madman's Return,SNAP!,4RADreHMvMkZwsPgPr9z5c,1992-01-01,68,225882,0.794,0.273,0.745,0.000414,0.143,0.706,-11.367,0.037,124.249,9,4
Boombastic,Boombastic,Shaggy,4fxF8ljwryMZX5c9EKrLFE,1995-07-11,69,249933,0.867,0.242,0.538,1.75e-05,0.316,0.781,-16.183,0.361,158.328,2,4
Thong Song,Unleash The Dragon,Sisqo,5Mmk2ii6laakqfeCT7OnVD,1999-01-01,70,253733,0.706,0.119,0.888,9.64e-05,0.07,0.714,-6.959,0.0654,121.549,2,4
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Blue (Da Ba Dee),Eiffel 65,5QRAfvKPyQpwt897Jc0glg,1998-11-11,57,283747,0.822,0.259,0.969,0.000153,0.39,0.765,-11.471,0.0582,128.007,7,4
Narcotic - Radio Edit,Narcotic,Liquido,1H5VQuShs4qfwBXyHF0PeH,1998-07-10,70,236150,0.617,0.000876,0.607,0.0701,0.0918,0.446,-7.015,0.0231,102.068,1,4
It's My Life,One Love (2nd Edition),Dr. Alban,6HdM7gzXVgcpepv276raog,1992-05-04,52,239933,0.655,0.00332,0.933,0.0365,0.0983,0.472,-7.703,0.0536,128.701,7,4
"Bills, Bills, Bills",The Writing's On The Wall,Destiny's Child,1Oi2zpmL81Q0yScF1zxaC0,1999-07-27,73,256026,0.845,0.139,0.576,0.0,0.0764,0.461,-5.15,0.153,127.641,11,4
Bailando,Tarpeia,Paradisio,6PwbVXIomkvk4YcafiOc6i,1997,64,229333,0.647,0.0836,0.94,0.00962,0.119,0.835,-8.759,0.0394,132.824,6,4
Could I Have This Kiss Forever,Enrique,Enrique Iglesias,01qCxvpyyIm0a0RG3uYxEm,1999-01-01,60,235293,0.457,0.00338,0.892,4.46e-06,0.141,0.508,-5.926,0.0986,93.664,10,4
I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,No Way Out (2014 Remaster),Diddy,1yy2DlSDtEt90d54rPDPXz,1997,68,306560,0.833,0.111,0.619,2.13e-05,0.159,0.901,-5.595,0.0538,109.92,7,4
The Boy Is Mine,Never Say Never,Brandy,6sHsXIJoEN5JpdkGMQDJxt,1998-05-29,71,294786,0.704,0.539,0.707,0.00106,0.318,0.761,-6.537,0.0391,93.145,1,4
Frozen,Ray of Light,Madonna,2II03llydk4YnkBBvoYB3B,1998-03-03,64,367333,0.602,0.662,0.616,0.0153,0.149,0.31,-10.917,0.0353,108.017,1,4
