name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Conga!,The Very Best Of Gloria Estefan (English Version),Gloria Estefan,0KxTWgl64TNOQXiGFJYc6t,1984,58,252933,0.782,0.141,0.873,0.0571,0.112,0.858,-7.157,0.0475,123.181,2,4
Happy Birthday,Hotter Than July,Stevie Wonder,01lewSOj9ZaXplh9TpNKL4,1980-09-29,59,357026,0.779,0.00511,0.571,1.16e-05,0.0532,0.96,-15.327,0.0427,116.197,1,4
I'm So Excited,So Excited! (Expanded Edition),The Pointer Sisters,1ot6jEe4w4hYnsOPjd3xKQ,1982-02-01,71,230640,0.59,0.0962,0.868,0.000322,0.442,0.798,-5.832,0.048,184.348,5,4
All Night Long (All Night),Can't Slow Down,Lionel Richie,7gaQtc0vrSpmRJpSMDiPEk,1983,62,383440,0.716,0.111,0.556,0.0076,0.0422,0.8,-13.917,0.0406,108.828,1,4
Flashdance...What a Feeling - Radio Edit,What a Feelin',Irene Cara,3cbV252akVZInSvJk7jAYX,1983-01-01,73,237053,0.572,0.0058,0.654,3.21e-06,0.09,0.399,-7.027,0.0344,122.491,7,4
Let's Groove,Raise!,"Earth, Wind & Fire",3koCCeSaVUyrRo3N2gHrd8,1981-11-14,79,339320,0.869,0.121,0.648,2.17e-05,0.126,0.9,-8.698,0.0633,125.035,11,4
Lay All Your Love On Me,Super Trouper,ABBA,4euAGZTszWPrriggYK0HG9,1980,71,274466,0.678,0.117,0.727,0.00396,0.354,0.71,-7.844,0.0258,133.481,2,4
Could You Be Loved,Uprising,Bob Marley & The Wailers,5O4erNlJ74PIF6kGol1ZrC,1980,77,237000,0.916,0.36,0.72,0.00016,0.0958,0.76,-8.548,0.1,103.312,0,4
It's Raining Men,80s 100 Hits,Various Artists,5TgD3Wh5ZUZnUU4tmVvJbx,2010-02-26,62,212000,0.705,0.207,0.898,0.00118,0.702,0.657,-6.371,0.0702,136.282,5,4
Holiday,Madonna,Madonna,7arHM2KZ0KzIZXFVDRGClI,1983-07-27,58,231560,0.813,0.0251,0.699,0.0135,0.0527,0.732,-8.656,0.0458,117.548,7,4
U Can't Touch This,Please Hammer Don't Hurt 'Em,MC Hammer,1B75hgRqe7A4fwee3g3Wmu,1990-02-20,74,257360,0.867,0.00456,0.517,0.000339,0.0864,0.866,-13.222,0.0875,133.148,11,4
Pass The Dutchie,Anthology,Musical Youth,1BkY0N8ChFk2mdLbAUu8ZK,1994-02-28,78,205426,0.805,0.459,0.418,0.0,0.288,0.966,-14.374,0.0979,149.724,7,4
Kickstart My Heart,Dr Feelgood,Mötley Crüe,7xnaUQyUDrpSr7w6USC7FU,1989,0,282653,0.354,0.00156,0.978,0.00377,0.284,0.247,-3.619,0.297,178.852,7,4
Buffalo Soldier,Confrontation,Bob Marley & The Wailers,7BfW1eoDh27W69nxsmRicb,1983,72,255840,0.929,0.142,0.463,5.26e-06,0.0634,0.757,-8.651,0.308,124.084,9,4
Live It Up,Fundamental As Anything,Mental As Anything,0d4DyZYCiSH5fNnc0Hfz3L,1985-09-01,43,254200,0.688,0.267,0.781,0.0,0.054,0.934,-8.868,0.0269,119.847,7,4
The Loco-Motion,Kylie,Kylie Minogue,1L1MWnX8hpdkHWCR4wFk7G,1988-07-04,45,194133,0.762,0.428,0.823,0.173,0.0243,0.8,-11.271,0.035,128.997,3,4
Jump (For My Love) - Single Remix,The Essential Pointer Sisters,The Pointer Sisters,4WoT9wgK9o1cxBfKRWlRzx,2017-12-15,42,238400,0.854,0.0289,0.85,6.47e-05,0.445,0.851,-7.013,0.0606,134.393,10,4
Like a Virgin,Like a Virgin (Reissue),Madonna,1ZPlNanZsJSPK5h9YZZFbZ,1984-11-12,71,218626,0.771,0.152,0.655,0.00197,0.0685,0.97,-10.842,0.0372,119.747,3,4
Just Can't Get Enough,Speak And Spell (Deluxe),Depeche Mode,0qi4b1l0eT3jpzeNHeFXDT,1981-11-02,72,220893,0.766,0.403,0.772,0.0584,0.183,0.919,-9.362,0.0353,128.168,0,4
When All Is Said And Done,The Visitors,ABBA,6tlF4uh34QXqq81XrIyO0O,1981,38,198066,0.723,0.424,0.679,5.6e-05,0.317,0.71,-7.517,0.0357,126.028,2,4
The Best,Foreign Affair,Tina Turner,6pPWRBubXOBAHnjl5ZIujB,1989-09-13,69,329800,0.662,0.108,0.737,0.0191,0.119,0.744,-9.54,0.0296,103.867,0,4
I'm Still Standing,Too Low For Zero,Elton John,1jDJFeK9x3OZboIAHsY9k2,1983-05-30,81,183440,0.504,0.356,0.904,0.121,0.14,0.772,-6.863,0.179,176.808,6,4
Whenever God Shines His Light,Avalon Sunset,Van Morrison,2hyXvK4P4cZmJoeqhEicjv,1989-06-06,44,295560,0.623,0.349,0.634,0.000191,0.0845,0.843,-7.957,0.0426,89.027,7,4
Celebration - Single Version,Celebration / Morning Star,Kool & The Gang,6pc8xULSlsMdFB3OrqbvZ4,1980,0,215653,0.843,0.0466,0.656,0.0187,0.169,0.931,-11.184,0.0595,121.112,1,4
Freeway of Love - Single Mix,Knew You Were Waiting: The Best Of Aretha Franklin 1980-1998,Aretha Franklin,0RaY0juzXaCUDZ7SWGn85j,2012,0,246693,0.738,0.33,0.921,2.09e-06,0.066,0.668,-4.908,0.124,125.436,0,4
Never Knew Love Like This Before,The Best Of Stephanie Mills,Stephanie Mills,4EUlszQIxlPwiHJ6e6j6Gy,1995-01-01,60,325173,0.739,0.384,0.566,3.1e-06,0.0735,0.739,-13.534,0.0335,114.045,11,4
I Wanna Dance with Somebody (Who Loves Me),Whitney,Whitney Houston,2tUBqZG2AbRi7Q0BIrVrEj,1987-06-02,81,291293,0.709,0.207,0.824,0.000307,0.0888,0.867,-8.824,0.0453,118.818,1,4
Nothing Can Divide Us,Greatest Hits,Jason Donovan,34sAPj9hCZr4f814I3MWEy,1991,23,226200,0.702,0.0263,0.788,2.42e-06,0.0436,0.852,-11.54,0.0423,120.1,7,4
