name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Umbrella,Good Girl Gone Bad: Reloaded,Rihanna,49FYlytm3dAAraYgpoJZux,2008-06-02,81,275986,0.583,0.00864,0.829,0.0,0.0426,0.575,-4.603,0.134,174.028,1,4
In Da Club,Get Rich Or Die Tryin',50 Cent,7iL6o9tox1zgHpKUfh9vuC,2003-02-06,82,193466,0.899,0.255,0.713,0.0,0.0708,0.777,-2.752,0.366,90.051,6,4
Just Dance,Just Dance,Lady Gaga,5vQXxfGn1bjv5WESrYVVpw,2008-01-01,58,244440,0.821,0.0278,0.741,2.51e-05,0.19,0.741,-4.57,0.0313,118.984,1,4
The Sweet Escape,The Sweet Escape,Gwen Stefani,07K4GcCDSTiXUF5ssyTRUM,2006-01-01,71,246466,0.756,0.191,0.77,0.0,0.178,0.73,-3.502,0.0343,119.961,1,4
Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,3ZFTkvIE7kyPt6Nu3PEa7V,2005-11-28,83,218093,0.778,0.284,0.824,0.0,0.405,0.758,-5.892,0.0707,100.024,10,4
Yeah!,Yeah!,Usher,2PkeVPcL32LA96cK5ySC3c,2004-02-09,0,250066,0.895,0.0219,0.795,0.0,0.0403,0.574,-4.693,0.0977,105.004,2,4
Family Affair,No More Drama,Mary J. Blige,3aw9iWUQ3VrPQltgwvN9Xu,2001-01-01,77,265866,0.911,0.132,0.551,4.12e-05,0.0863,0.969,-3.75,0.0449,92.887,8,4
"Lose Yourself - From ""8 Mile"" Soundtrack",Just Lose It,Eminem,1v7L65Lzy0j0vdpRjJewt1,2004-01-01,78,322226,0.686,0.00921,0.735,0.00066,0.342,0.0596,-4.616,0.264,171.355,2,4
Don't Stop The Music,Good Girl Gone Bad: Reloaded,Rihanna,0ByMNEPAPpOR5H69DVrTNy,2008-06-02,78,267080,0.835,0.0336,0.669,6.92e-05,0.0535,0.542,-5.582,0.0643,122.668,6,4
Empire State Of Mind,The Blueprint 3,JAY-Z,2igwFfvr1OAGX9SKDCPBwO,2009-09-08,82,276920,0.491,0.0295,0.956,0.0,0.46,0.811,-1.538,0.392,173.585,11,4
